Arrival_mode,Triage_category,State,presentations,totbyarrival,proptotal
Other(a),Resuscitation,ACT,76,116902,0.065011719
Not reported,Resuscitation,ACT,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Emergency,ACT,6480,31353,20.66787867
Police/correctional services vehicle,Emergency,ACT,303,1018,29.76424361
Other(a),Emergency,ACT,9455,116902,8.087971121
Not reported,Emergency,ACT,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Urgent,ACT,17515,31353,55.86387268
Police/correctional services vehicle,Urgent,ACT,524,1018,51.47347741
Other(a),Urgent,ACT,46851,116902,40.07715865
Not reported,Urgent,ACT,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Semi-urgent,ACT,6350,31353,20.2532453
Police/correctional services vehicle,Semi-urgent,ACT,148,1018,14.53831041
Other(a),Semi-urgent,ACT,49902,116902,42.68703701
Not reported,Semi-urgent,ACT,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Non-urgent,ACT,272,31353,0.867540586
Police/correctional services vehicle,Non-urgent,ACT,41,1018,4.027504912
Other(a),Non-urgent,ACT,10618,116902,9.082821509
Not reported,Non-urgent,ACT,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Resuscitation,NT,750,28382,2.642519907
Police/correctional services vehicle,Resuscitation,NT,24,3152,0.76142132
Other(a),Resuscitation,NT,489,133463,0.366393682
Not reported,Resuscitation,NT,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Emergency,NT,7715,28382,27.18272144
Police/correctional services vehicle,Emergency,NT,463,3152,14.68908629
Other(a),Emergency,NT,16185,133463,12.12695653
Not reported,Emergency,NT,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Urgent,NT,11800,28382,41.57564654
Police/correctional services vehicle,Urgent,NT,1052,3152,33.37563452
Other(a),Urgent,NT,38768,133463,29.04775106
Not reported,Urgent,NT,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Semi-urgent,NT,7662,28382,26.99598337
Police/correctional services vehicle,Semi-urgent,NT,1374,3152,43.59137056
Other(a),Semi-urgent,NT,65705,133463,49.23087298
Not reported,Semi-urgent,NT,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Non-urgent,NT,455,28382,1.603128744
Police/correctional services vehicle,Non-urgent,NT,239,3152,7.58248731
Other(a),Non-urgent,NT,12316,133463,9.228025745
Not reported,Non-urgent,NT,0,0,0
